Player,Year,Pk,College,G,VORP,MP,Pk_redraft_vorp,Bust_steal
Pervis Ellison,1989,1,University of Louisville,474,7.4,11593,10,-37.9
Danny Ferry,1989,2,Duke University,917,5.0,18133,14,-33.9
Sean Elliott,1989,3,University of Arizona,742,16.1,24502,8,-18.5
Glen Rice,1989,4,University of Michigan,1000,22.1,34985,7,-6.6
J.R. Reid,1989,5,University of North Carolina,672,-0.2,15370,21,-27.5
Stacey King,1989,6,University of Oklahoma,438,-1.9,7406,29,-25.4
George McCloud,1989,7,Florida State University,766,5.6,17429,12,-16.5
Randy White,1989,8,Louisiana Tech University,281,-3.3,5382,33,-19.4
Tom Hammonds,1989,9,Georgia Institute of Technology,687,-6.0,10419,34,-16.6
Pooh Richardson,1989,10,University of California Los Angeles,639,5.5,19399,13,-1.9
Nick Anderson,1989,11,University of Illinois at Urbana-Champaign,800,23.5,24922,6,17.8
Mookie Blaylock,1989,12,University of Oklahoma,889,38.9,31026,2,33.3
Michael Smith,1989,13,Brigham Young University,141,-0.7,1328,22,-6.2
Tim Hardaway,1989,14,University of Texas at El Paso,867,34.6,30626,3,29.6
Todd Lichti,1989,15,Stanford University,237,-0.8,4240,24,-3.4
Dana Barros,1989,16,Boston College,850,10.6,19480,9,8.3
Shawn Kemp,1989,17,Trinity Valley Community College,1051,27.3,29293,5,25.4
B.J. Armstrong,1989,18,University of Iowa,747,1.9,17790,17,0.4
Kenny Payne,1989,19,University of Louisville,144,-1.3,1167,27,-2.2
Jeff Sanders,1989,20,Georgia Southern University,55,-0.4,462,35,-6.5
Blue Edwards,1989,21,East Carolina University,704,5.7,18409,11,5.9
Byron Irvin,1989,22,University of Missouri,87,0.2,849,36,-5.3
Roy Marble,1989,23,University of Iowa,29,-0.3,194,37,-5.3
Anthony Cook,1989,24,University of Arizona,116,-0.8,1499,25,0.0
John Morton,1989,25,Seton Hall University,128,-1.3,1879,28,-0.5
Vlade Divac,1989,26,,1134,45.3,33838,1,46.5
Kenny Battle,1989,27,University of Illinois at Urbana-Champaign,134,0.9,1795,19,2.2
Sherman Douglas,1989,28,Syracuse University,765,2.6,21148,15,3.9
Dyron Nix,1989,29,University of Tennessee,20,-0.2,109,38,-4.1
Frank Kornet,1989,30,Vanderbilt University,89,-0.6,595,39,-3.8
Jeff Martin,1989,31,Murray State University,143,-1.2,2685,26,1.8
Stanley Brundy,1989,32,DePaul University,16,0.0,128,40,-3.0
Jay Edwards,1989,33,Indiana University,4,0.0,26,41,-2.7
Gary Leonard,1989,34,University of Missouri,31,-0.2,149,42,0.0
Pat Durham,1989,35,Colorado State University,64,-0.2,930,43,0
Clifford Robinson,1989,36,University of Connecticut,1380,28.7,42561,4,34.7
Michael Ansley,1989,37,University of Alabama,149,0.5,2143,20,6.5
Doug West,1989,38,Villanova University,676,-2.2,16649,30,3.8
Ed Horton,1989,39,University of Iowa,45,-0.2,374,44,0
Dino Radja,1989,40,,224,2.3,7308,16,8.3
Doug Roth,1989,41,University of Tennessee,42,-0.2,412,45,0
Michael Cutright,1989,42,McNeese State University,,,,46,0
Chucky Brown,1989,43,North Carolina State University,694,-3.0,11962,31,3.0
Reggie Cross,1989,44,University of Hawaii,,,,47,0
Scott Haffner,1989,45,University of Evansville,50,-0.7,609,48,0
Ricky Blanton,1989,46,Louisiana State University,2,0.0,13,49,0
Reggie Turner,1989,47,University of Alabama at Birmingham,,,,50,0
Junie Lewis,1989,48,University of South Alabama,,,,51,0
Haywoode Workman,1989,49,Oral Roberts University,359,1.5,7202,18,7.5
Brian Quinnett,1989,50,Washington State University,138,-0.7,1530,23,5.3
Mike Morrison,1989,51,Loyola College in Maryland,36,-0.3,153,52,0
Greg Grant,1989,52,Trenton State University,274,-3.0,3350,32,3.0
Jeff Hodge,1989,53,University of South Alabama,,,,53,0
Toney Mack,1989,54,University of Georgia,,,,54,0
Derrick Coleman,1990,1,Syracuse University,781,21.7,25903,3,-41.3
Gary Payton,1990,2,Oregon State University,1335,63.0,47117,1,38.3
Mahmoud Abdul-Rauf,1990,3,Louisiana State University,586,-0.7,15628,24,-22.4
Dennis Scott,1990,4,Georgia Institute of Technology,629,7.3,17983,8,-9.6
Kendall Gill,1990,5,University of Illinois at Urbana-Champaign,966,16.9,29481,4,5.9
Felton Spencer,1990,6,University of Louisville,640,-1.9,12298,36,-12.7
Lionel Simmons,1990,7,La Salle University,454,7.2,13472,9,-1.6
Bo Kimble,1990,8,Loyola Marymount University,105,-1.1,1336,27,-8.4
Willie Burton,1990,9,University of Minnesota,316,-1.4,6666,33,-8.6
Rumeal Robinson,1990,10,University of Michigan,336,-0.3,6098,19,-6.3
Tyrone Hill,1990,11,Xavier University,801,5.7,22388,11,0.0
Alec Kessler,1990,12,University of Georgia,210,-3.2,2937,43,-8.7
Loy Vaught,1990,13,University of Michigan,689,1.8,16993,15,-1.0
Travis Mays,1990,14,University of Texas at Austin,115,-0.5,2964,21,-3.2
Dave Jamerson,1990,15,Ohio University,90,-0.5,594,46,-9.8
Terry Mills,1990,16,University of Michigan,678,5.5,16422,12,3.9
Jerrod Mustaf,1990,17,University of Maryland,179,-1.2,1902,31,-2.6
Duane Causwell,1990,18,Temple University,541,1.6,9409,16,1.5
Dee Brown,1990,19,Jacksonville University,608,11.0,16843,5,11.3
Gerald Glass,1990,20,University of Mississippi,201,-0.4,3347,20,0.0
Jayson Williams,1990,21,St. John's University,475,0.1,9805,18,0.6
Tate George,1990,22,University of Connecticut,177,-1.8,2019,35,-1.3
Anthony Bonner,1990,23,Saint Louis University,318,2.8,7372,13,3.4
Dwayne Schintzius,1990,24,University of Florida,217,-1.4,1950,34,-0.7
Alaa Abdelnaby,1990,25,Duke University,256,-2.3,3200,37,-1.6
Lance Blanks,1990,26,University of Texas at Austin,142,-0.5,1045,22,0.5
Elden Campbell,1990,27,Clemson University,1044,10.8,25776,6,11.9
Les Jepsen,1990,28,University of Iowa,52,-0.3,192,47,-6.9
Toni Kukoc,1990,29,,846,24.7,22212,2,25.8
Carl Herrera,1990,30,University of Houston,465,-2.6,8042,40,-1.5
Negele Knight,1990,31,University of Dayton,276,-3.0,4513,42,-1.8
Brian Oliver,1990,32,Georgia Institute of Technology,118,-1.3,1182,32,0.0
Walter Palmer,1990,33,Dartmouth College,48,-0.3,209,48,-6.6
Kevin Pritchard,1990,34,University of Kansas,94,-1.0,1125,26,0.4
Greg Foster,1990,35,University of Texas at El Paso,656,-6.3,7974,44,-4.5
Trevor Wilson,1990,36,University of California Los Angeles,103,-0.6,1609,23,1.3
A.J. English,1990,37,Virginia Union University,151,-2.4,3108,39,-0.1
Jud Buechler,1990,38,University of Arizona,720,2.7,8444,14,5.0
Steve Scheffler,1990,39,Purdue University,174,0.0,918,49,-5.6
Bimbo Coles,1990,40,Virginia Polytechnic Institute and State University,852,-0.7,20319,25,1.9
Steve Bardo,1990,41,University of Illinois at Urbana-Champaign,33,-0.2,299,50,-5.3
Marcus Liberty,1990,42,University of Illinois at Urbana-Champaign,267,-1.1,4568,28,1.9
Tony Massenburg,1990,43,University of Maryland,683,-8.0,12291,45,-4.8
Steve Henson,1990,44,Kansas State University,238,-1.1,2282,29,5.2
Antonio Davis,1990,45,University of Texas at El Paso,903,8.8,26084,7,16.8
Kenny Williams,1990,46,Elizabeth City State University,260,1.4,2918,17,9.4
